age,capital-gain,capital-loss,hours-per-week,income,new_workclass,new_education,new_marital_status,new_occupation
39,2174,0,40,<=50K,State-gov,Bachelors,Never-married,Adm-clerical
50,0,0,13,<=50K,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial
38,0,0,40,<=50K,Private,HS-grad,Divorced,Handlers-cleaners
53,0,0,40,<=50K,Private,11th,Married-civ-spouse,Handlers-cleaners
28,0,0,40,<=50K,Private,Bachelors,Married-civ-spouse,Prof-specialty
37,0,0,40,<=50K,Private,Masters,Married-civ-spouse,Exec-managerial
49,0,0,16,<=50K,Private,9th,Married-spouse-absent,Other-service
52,0,0,45,>50K,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial
31,14084,0,50,>50K,Private,Masters,Never-married,Prof-specialty
42,5178,0,40,>50K,Private,Bachelors,Married-civ-spouse,Exec-managerial
37,0,0,80,>50K,Private,Some-college,Married-civ-spouse,Exec-managerial
30,0,0,40,>50K,State-gov,Bachelors,Married-civ-spouse,Prof-specialty
23,0,0,30,<=50K,Private,Bachelors,Never-married,Adm-clerical
32,0,0,50,<=50K,Private,Assoc-acdm,Never-married,Sales
40,0,0,40,>50K,Private,Assoc-voc,Married-civ-spouse,Craft-repair
34,0,0,45,<=50K,Private,7th-8th,Married-civ-spouse,Transport-moving
25,0,0,35,<=50K,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing
32,0,0,40,<=50K,Private,HS-grad,Never-married,Machine-op-inspct
38,0,0,50,<=50K,Private,11th,Married-civ-spouse,Sales
43,0,0,45,>50K,Self-emp-not-inc,Masters,Divorced,Exec-managerial
40,0,0,60,>50K,Private,Doctorate,Married-civ-spouse,Prof-specialty
54,0,0,20,<=50K,Private,HS-grad,Separated,Other-service
35,0,0,40,<=50K,Federal-gov,9th,Married-civ-spouse,Farming-fishing
43,0,2042,40,<=50K,Private,11th,Married-civ-spouse,Transport-moving
59,0,0,40,<=50K,Private,HS-grad,Divorced,Tech-support
56,0,0,40,>50K,Local-gov,Bachelors,Married-civ-spouse,Tech-support
19,0,0,40,<=50K,Private,HS-grad,Never-married,Craft-repair
54,0,0,60,>50K,Private,Some-college,Married-civ-spouse,Prof-specialty
39,0,0,80,<=50K,Private,HS-grad,Divorced,Exec-managerial
49,0,0,40,<=50K,Private,HS-grad,Married-civ-spouse,Craft-repair
23,0,0,52,<=50K,Local-gov,Assoc-acdm,Never-married,Protective-serv
20,0,0,44,<=50K,Private,Some-college,Never-married,Sales
45,0,1408,40,<=50K,Private,Bachelors,Divorced,Exec-managerial
30,0,0,40,<=50K,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical
22,0,0,15,<=50K,State-gov,Some-college,Married-civ-spouse,Other-service
48,0,0,40,<=50K,Private,11th,Never-married,Machine-op-inspct
21,0,0,40,<=50K,Private,Some-college,Never-married,Machine-op-inspct
19,0,0,25,<=50K,Private,HS-grad,Married-AF-spouse,Adm-clerical
31,0,0,38,>50K,Private,Some-college,Married-civ-spouse,Sales
48,0,0,40,<=50K,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty
31,0,0,43,<=50K,Private,9th,Married-civ-spouse,Machine-op-inspct
